,file,name,status,date_signed,date_into_force,date_notification,end_implementation,partyisocode,composition,region,parties_wto,crossregional,language,chapter_count,article_count,word_count,average_WxA
48,pta_187.xml,Caribbean Free Trade Association (CARIFTA),Inactive,1965-12-15,1968-05-01,1968-10-22,,"['GRD', 'VCT', 'ATG', 'LCA', 'DMA', 'TTO', 'MSR', None, 'JAM', 'KNA', 'BRB', 'GUY']",Plurilateral,Caribbean; South America,No,Yes,en,2,40,7776,194.4
49,pta_20.xml,Japan - Malaysia,In Force,2005-12-13,2006-07-13,2006-07-12,2021-12-31,"['JPN', 'MYS']",Bilateral,East Asia,Yes,No,en,16,161,27469,170.61490683229815
50,pta_34.xml,Japan - Mexico,In Force,2004-09-17,2005-04-01,2005-03-31,2015-12-31,"['JPN', 'MEX']",Bilateral,East Asia; North America,Yes,Yes,en,20,179,30465,170.19553072625698
51,pta_193.xml,Croatia - Albania,Inactive,2002-09-27,2003-06-01,2004-03-31,,"['ALB', None, 'HRV']",Bilateral,Europe,Yes,No,en,6,42,4798,114.23809523809524
52,pta_144.xml,Canada - Colombia,In Force,2008-11-21,2011-08-15,2011-10-07,2032-12-30,"['COL', 'CAN']",Bilateral,North America; South America,Yes,Yes,en,25,279,59716,214.0358422939068
53,pta_150.xml,India - Japan,In Force,2011-02-16,2011-08-01,2011-09-14,2026-12-31,"['IND', 'JPN']",Bilateral,West Asia; East Asia,Yes,Yes,en,17,149,24862,166.85906040268458
54,pta_178.xml,Bulgaria - Former Yugoslav Republic of Macedonia,Inactive,1999-10-13,2000-01-01,2000-02-18,,"['BGR', None, 'MKD']",Bilateral,Europe,Yes,No,en,5,41,4814,117.41463414634147
55,pta_385.xml,Peru - China,In Force,2009-04-28,2010-03-01,2010-03-03,2026-12-31,"['CHN', 'PER']",Bilateral,East Asia; South America,Yes,Yes,en,19,203,31364,154.5024630541872
56,pta_391.xml,EU - Cameroon,In Force,2009-01-15,2014-08-04,2009-09-24,2023-12-31,"['ESP', 'CYP', 'DEU', 'CZE', 'SVK', 'SWE', 'AUT', 'ROU', 'HUN', 'EST', 'CMR', 'BGR', 'LTU', 'LUX', 'DNK', 'FRA', 'GBR', 'MLT', 'SVN', 'PRT', 'BEL', 'IRL', 'NLD', 'FIN', 'POL', 'HRV', 'ITA', 'GRC', 'LVA']",Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,22,109,16876,154.8256880733945
57,pta_420.xml,Russian Federation - Belarus,Inactive,1992-11-13,1993-04-20,2012-09-13,1993-12-31,"['RUS', 'BLR']",Bilateral,Commonwealth of Independent States (CIS),No,No,en,3,22,1972,89.63636363636364
58,pta_346.xml,Turkey - Albania,In Force,2006-12-22,2008-05-01,2008-05-09,2013-12-31,"['ALB', 'TUR']",Bilateral,Europe,Yes,No,en,6,38,4258,112.05263157894737
59,pta_352.xml,Canada - Jordan,In Force,2009-06-28,2012-10-01,2013-04-10,2016-12-30,"['JOR', 'CAN']",Bilateral,North America; Middle East,Yes,Yes,en,18,106,20318,191.67924528301887
